age,work-class,occupation,sex,hours-pw,income-level
49, Private, Craft-repair, Female,40, <=50K
18, Private, Handlers-cleaners, Male,12, <=50K
26, Private, Sales, Male,48, <=50K
48, Private, Adm-clerical, Male,45, >50K
32, Private, Machine-op-inspct, Female,40, <=50K
35, State-gov, Tech-support, Male,40, <=50K
40, Private, Adm-clerical, Female,45, <=50K
40, Self-emp-not-inc, Craft-repair, Male,40, <=50K
42, State-gov, Prof-specialty, Male,72, >50K
30, Private, Sales, Male,40, <=50K
19, Private, Sales, Female,20, <=50K
36, Private, Sales, Male,60, >50K
31, Private, Sales, Female,40, <=50K
50, Federal-gov, Exec-managerial, Male,60, <=50K
38, Private, Craft-repair, Male,40, <=50K
35, Private, Prof-specialty, Male,50, >50K
45, Private, Prof-specialty, Male,40, >50K
29, Private, Sales, Female,40, <=50K
41, Private, Craft-repair, Male,46, >50K
33, Private, Prof-specialty, Female,50, >50K
49, Private, Other-service, Female,60, <=50K
28, Private, Exec-managerial, Male,40, >50K
49, Local-gov, Protective-serv, Male,40, >50K
27, Private, Machine-op-inspct, Female,40, <=50K
47, Self-emp-inc, Exec-managerial, Male,32, <=50K
42, State-gov, Exec-managerial, Female,40, >50K
30, Private, Exec-managerial, Male,60, <=50K
37, Local-gov, Craft-repair, Male,40, <=50K
37, Private, Prof-specialty, Female,35, <=50K
51, Private, Sales, Female,38, <=50K
27, Federal-gov, Other-service, Male,40, <=50K
53, Private, Sales, Female,40, <=50K
45, Private, Craft-repair, Male,40, <=50K
37, Self-emp-inc, Prof-specialty, Male,45, <=50K
40, Federal-gov, Prof-specialty, Female,40, <=50K
54, State-gov, Prof-specialty, Male,40, >50K
47, Self-emp-inc, Exec-managerial, Male,42, >50K
35, Private, Other-service, Male,40, >50K
33, Private, Machine-op-inspct, Male,40, <=50K
28, Local-gov, Adm-clerical, Male,40, <=50K
39, State-gov, Exec-managerial, Female,55, >50K
33, Private, Sales, Male,40, <=50K
34, Private, Other-service, Female,40, <=50K
53, Private, Transport-moving, Male,40, >50K
21, Private, Adm-clerical, Male,35, <=50K
31, State-gov, Exec-managerial, Male,55, >50K
63, Private, Prof-specialty, Male,45, <=50K
21, Self-emp-not-inc, Other-service, Male,30, <=50K
59, Private, Craft-repair, Male,40, >50K
50, Private, Prof-specialty, Female,40, <=50K
19, Private, Transport-moving, Male,30, <=50K
31, Private, Tech-support, Male,45, <=50K
23, Private, Prof-specialty, Female,40, <=50K
45, Private, Exec-managerial, Female,40, >50K
35, Local-gov, Prof-specialty, Male,40, <=50K
32, Private, Craft-repair, Male,40, <=50K
20, Private, Machine-op-inspct, Female,60, <=50K
38, Private, Exec-managerial, Male,40, >50K
49, Private, Other-service, Female,8, <=50K
64, Private, Machine-op-inspct, Female,40, <=50K
60, Local-gov, Transport-moving, Male,20, <=50K
25, Private, Prof-specialty, Female,50, <=50K
21, Private, Craft-repair, Male,35, <=50K
26, Private, Priv-house-serv, Female,15, <=50K
23, Private, Adm-clerical, Male,20, <=50K
67, Self-emp-inc, Sales, Male,48, >50K
24, Private, Sales, Female,30, <=50K
46, Private, Machine-op-inspct, Female,40, <=50K
38, State-gov, Prof-specialty, Male,40, <=50K
20, Private, Machine-op-inspct, Male,40, <=50K
26, Private, Prof-specialty, Male,48, <=50K
58, Private, Machine-op-inspct, Male,40, <=50K
31, State-gov, Other-service, Male,40, <=50K
37, State-gov, Protective-serv, Male,38, <=50K
53, State-gov, Prof-specialty, Male,40, >50K
45, Private, Machine-op-inspct, Female,35, <=50K
33, Private, Adm-clerical, Female,50, <=50K
33, State-gov, Protective-serv, Male,40, <=50K
35, Private, Handlers-cleaners, Male,25, <=50K
60, Self-emp-not-inc, Exec-managerial, Male,40, <=50K
21, Private, Sales, Female,20, <=50K
38, Private, Craft-repair, Male,45, <=50K
40, Private, Craft-repair, Female,40, <=50K
40, Private, Sales, Female,40, >50K
44, Self-emp-not-inc, Prof-specialty, Male,70, >50K
27, Private, Exec-managerial, Male,60, <=50K
34, Self-emp-not-inc, Craft-repair, Male,55, >50K
49, Local-gov, Protective-serv, Male,40, <=50K
37, Private, Craft-repair, Male,50, >50K
52, Private, Transport-moving, Male,30, >50K
46, Private, Machine-op-inspct, Male,40, <=50K
20, Private, Machine-op-inspct, Female,40, <=50K
43, Private, Craft-repair, Male,40, <=50K
46, Local-gov, Adm-clerical, Female,40, >50K
25, State-gov, Other-service, Female,15, <=50K
48, Private, Adm-clerical, Male,40, <=50K
36, Local-gov, Protective-serv, Male,55, <=50K
37, Private, Craft-repair, Male,40, >50K
42, Private, Prof-specialty, Male,50, >50K
60, Private, Adm-clerical, Male,24, <=50K
37, Self-emp-inc, Transport-moving, Male,55, >50K
44, Local-gov, Tech-support, Male,40, <=50K
32, Private, Craft-repair, Male,40, <=50K
29, Private, Adm-clerical, Female,40, <=50K
42, Local-gov, Prof-specialty, Male,35, >50K
17, Private, Handlers-cleaners, Male,12, <=50K
41, Private, Other-service, Female,10, <=50K
34, Private, Exec-managerial, Female,40, >50K
56, Private, Other-service, Female,32, <=50K
28, Private, Adm-clerical, Male,40, <=50K
28, Self-emp-not-inc, Sales, Male,40, <=50K
19, Private, Transport-moving, Male,25, <=50K
49, Federal-gov, Tech-support, Male,40, >50K
36, Self-emp-not-inc, Other-service, Female,50, <=50K
25, Private, Transport-moving, Male,35, <=50K
42, Private, Prof-specialty, Male,40, <=50K
47, Self-emp-not-inc, Prof-specialty, Male,50, >50K
26, Private, Protective-serv, Male,40, <=50K
35, Private, Exec-managerial, Male,58, <=50K
37, Private, Craft-repair, Male,45, <=50K
39, Local-gov, Protective-serv, Male,48, <=50K
42, Private, Exec-managerial, Male,35, >50K
41, Private, Other-service, Female,36, >50K
23, Private, Other-service, Female,24, <=50K
31, Federal-gov, Tech-support, Male,40, <=50K
36, Local-gov, Protective-serv, Male,57, >50K
20, Private, Prof-specialty, Female,25, <=50K
36, Private, Machine-op-inspct, Male,45, <=50K
50, Private, Machine-op-inspct, Male,50, >50K
37, Private, Machine-op-inspct, Male,40, <=50K
25, Private, Farming-fishing, Male,50, >50K
39, Private, Other-service, Female,60, <=50K
32, Private, Farming-fishing, Female,40, <=50K
59, Private, Adm-clerical, Female,35, <=50K
29, Private, Craft-repair, Male,45, <=50K
50, Private, Transport-moving, Male,40, <=50K
42, Private, Sales, Male,37, <=50K
32, Private, Prof-specialty, Male,40, <=50K
48, Private, Sales, Male,40, >50K
20, Private, Craft-repair, Male,35, <=50K
50, Self-emp-not-inc, Craft-repair, Male,45, <=50K
18, Private, Craft-repair, Male,30, <=50K
60, Private, Prof-specialty, Male,50, <=50K
60, Private, Prof-specialty, Male,40, <=50K
42, Local-gov, Prof-specialty, Male,22, <=50K
49, Private, Other-service, Female,35, <=50K
35, Self-emp-inc, Sales, Female,40, <=50K
30, Self-emp-not-inc, Sales, Male,60, <=50K
59, Private, Exec-managerial, Male,40, >50K
24, Self-emp-inc, Other-service, Male,50, >50K
55, Private, Adm-clerical, Female,40, <=50K
19, Private, Adm-clerical, Female,20, <=50K
39, Private, Craft-repair, Male,40, <=50K
48, Private, Exec-managerial, Female,40, <=50K
44, Private, Prof-specialty, Male,40, >50K
21, Private, Handlers-cleaners, Male,30, <=50K
23, Private, Tech-support, Male,40, <=50K
22, Private, Other-service, Male,30, <=50K
55, Self-emp-not-inc, Prof-specialty, Male,55, >50K
19, Private, Sales, Female,40, <=50K
23, Private, Handlers-cleaners, Male,25, <=50K
46, Private, Transport-moving, Male,44, >50K
23, Private, Adm-clerical, Female,23, <=50K
47, Self-emp-inc, Exec-managerial, Male,50, >50K
23, Private, Sales, Female,15, <=50K
42, Private, Other-service, Male,40, >50K
22, State-gov, Adm-clerical, Female,10, <=50K
18, Private, Adm-clerical, Male,20, <=50K
37, Private, Exec-managerial, Male,50, >50K
34, Private, Craft-repair, Male,50, <=50K
30, Private, Other-service, Female,40, <=50K
62, Self-emp-not-inc, Farming-fishing, Female,50, <=50K
51, Private, Handlers-cleaners, Male,40, <=50K
34, Private, Other-service, Male,30, <=50K
28, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
56, Private, Handlers-cleaners, Male,40, <=50K
46, Private, Tech-support, Female,30, <=50K
46, Private, Tech-support, Male,45, >50K
23, Local-gov, Adm-clerical, Female,40, <=50K
33, Private, Adm-clerical, Female,30, <=50K
27, Private, Other-service, Male,40, <=50K
21, Private, Adm-clerical, Female,20, <=50K
36, Private, Machine-op-inspct, Male,40, >50K
37, Local-gov, Prof-specialty, Female,36, <=50K
39, Local-gov, Other-service, Male,40, <=50K
36, Private, Transport-moving, Male,60, >50K
24, Private, Craft-repair, Male,40, <=50K
26, Private, Exec-managerial, Female,40, <=50K
37, Private, Sales, Female,60, <=50K
34, Private, Craft-repair, Male,50, <=50K
33, Private, Exec-managerial, Female,40, <=50K
33, Self-emp-not-inc, Protective-serv, Male,30, <=50K
20, Private, Sales, Female,8, <=50K
26, Private, Adm-clerical, Female,38, <=50K
47, Private, Adm-clerical, Female,20, >50K
17, Private, Sales, Female,20, <=50K
53, Private, Exec-managerial, Male,40, <=50K
31, Private, Sales, Female,35, <=50K
34, Private, Machine-op-inspct, Male,40, <=50K
23, Private, Other-service, Male,40, <=50K
39, Private, Craft-repair, Male,45, >50K
21, Private, Adm-clerical, Female,20, <=50K
40, Private, Adm-clerical, Female,35, <=50K
54, Local-gov, Adm-clerical, Male,40, >50K
32, Federal-gov, Prof-specialty, Male,40, <=50K
29, Local-gov, Other-service, Female,40, <=50K
27, Local-gov, Protective-serv, Male,45, >50K
54, Private, Exec-managerial, Male,40, >50K
23, Private, Priv-house-serv, Female,40, <=50K
38, Private, Exec-managerial, Male,48, >50K
54, Private, Other-service, Female,35, <=50K
21, Private, Prof-specialty, Male,40, <=50K
40, Private, Prof-specialty, Male,42, <=50K
19, Private, Other-service, Female,40, <=50K
35, Private, Adm-clerical, Female,40, <=50K
39, Private, Adm-clerical, Female,45, <=50K
38, Private, Other-service, Male,40, <=50K
41, Private, Handlers-cleaners, Male,40, >50K
26, Private, Adm-clerical, Female,40, <=50K
35, Private, Other-service, Female,45, <=50K
70, Self-emp-not-inc, Craft-repair, Male,25, <=50K
45, Private, Sales, Male,40, <=50K
83, Private, Protective-serv, Male,55, <=50K
59, Private, Other-service, Female,40, <=50K
18, Private, Other-service, Male,15, <=50K
31, Private, Adm-clerical, Male,40, <=50K
43, Private, Prof-specialty, Female,45, >50K
24, Local-gov, Prof-specialty, Female,40, <=50K
33, Private, Machine-op-inspct, Male,50, <=50K
48, Local-gov, Prof-specialty, Female,52, <=50K
27, Private, Exec-managerial, Male,40, <=50K
41, Private, Craft-repair, Male,40, <=50K
25, Private, Other-service, Female,25, <=50K
53, Private, Transport-moving, Male,40, >50K
66, Self-emp-not-inc, Prof-specialty, Male,50, <=50K
31, Private, Craft-repair, Male,40, >50K
30, State-gov, Adm-clerical, Male,40, <=50K
22, Private, Transport-moving, Male,40, <=50K
47, Self-emp-inc, Sales, Male,60, >50K
74, Private, Exec-managerial, Male,40, >50K
37, Private, Adm-clerical, Male,70, >50K
35, Self-emp-not-inc, Farming-fishing, Male,60, <=50K
51, Self-emp-not-inc, Exec-managerial, Male,70, <=50K
40, Private, Other-service, Female,40, <=50K
51, Local-gov, Prof-specialty, Male,40, >50K
26, Private, Handlers-cleaners, Female,40, <=50K
53, Private, Adm-clerical, Female,40, <=50K
32, Private, Craft-repair, Male,40, <=50K
29, Self-emp-not-inc, Craft-repair, Male,40, <=50K
42, Private, Adm-clerical, Male,40, <=50K
22, Private, Transport-moving, Male,32, <=50K
33, Private, Adm-clerical, Female,40, <=50K
21, Private, Transport-moving, Male,20, <=50K
46, Local-gov, Prof-specialty, Male,45, >50K
25, Private, Handlers-cleaners, Male,40, <=50K
29, Private, Other-service, Male,40, <=50K
29, Federal-gov, Prof-specialty, Male,48, <=50K
33, Private, Sales, Male,60, >50K
50, Private, Craft-repair, Male,40, <=50K
22, Private, Adm-clerical, Female,40, <=50K
40, Private, Craft-repair, Male,40, <=50K
28, Private, Machine-op-inspct, Male,45, <=50K
54, Private, Adm-clerical, Male,40, <=50K
29, Private, Craft-repair, Male,40, <=50K
49, Private, Machine-op-inspct, Female,40, <=50K
46, Private, Other-service, Female,27, <=50K
71, Self-emp-not-inc, Craft-repair, Male,8, <=50K
27, Private, Farming-fishing, Male,80, <=50K
56, Private, Adm-clerical, Female,40, <=50K
64, Private, Tech-support, Male,60, >50K
23, Private, Exec-managerial, Female,25, <=50K
36, Private, Prof-specialty, Male,40, >50K
39, Local-gov, Prof-specialty, Male,45, >50K
26, Private, Exec-managerial, Male,40, <=50K
31, Federal-gov, Tech-support, Male,40, <=50K
36, Private, Adm-clerical, Female,40, <=50K
43, Private, Craft-repair, Male,40, >50K
25, Private, Adm-clerical, Female,50, <=50K
27, Private, Machine-op-inspct, Male,40, <=50K
24, Private, Sales, Male,40, <=50K
50, Self-emp-not-inc, Protective-serv, Male,20, <=50K
30, Private, Craft-repair, Male,40, <=50K
24, Private, Handlers-cleaners, Male,40, <=50K
41, Local-gov, Prof-specialty, Female,36, >50K
29, Private, Exec-managerial, Male,45, <=50K
31, Private, Exec-managerial, Male,40, <=50K
54, Private, Exec-managerial, Female,40, <=50K
20, Private, Sales, Female,50, <=50K
37, Private, Other-service, Male,40, <=50K
28, Local-gov, Other-service, Male,30, <=50K
39, Private, Adm-clerical, Female,40, >50K
46, State-gov, Exec-managerial, Female,40, <=50K
35, Private, Exec-managerial, Female,42, <=50K
36, Self-emp-not-inc, Sales, Male,20, >50K
44, Private, Exec-managerial, Male,40, >50K
34, Self-emp-inc, Exec-managerial, Male,50, <=50K
28, Self-emp-not-inc, Sales, Male,50, >50K
38, Self-emp-inc, Prof-specialty, Male,45, >50K
35, Private, Sales, Male,52, >50K
61, Private, Adm-clerical, Female,40, <=50K
45, Private, Sales, Female,40, <=50K
36, Private, Transport-moving, Male,40, <=50K
34, Private, Transport-moving, Male,30, <=50K
27, Private, Sales, Male,60, <=50K
22, Private, Craft-repair, Male,40, <=50K
26, Private, Tech-support, Female,40, <=50K
19, Private, Other-service, Female,15, <=50K
36, Private, Farming-fishing, Male,40, <=50K
51, Private, Exec-managerial, Male,50, >50K
63, Private, Craft-repair, Male,40, >50K
51, Private, Adm-clerical, Male,40, <=50K
20, State-gov, Adm-clerical, Female,25, <=50K
42, Self-emp-not-inc, Prof-specialty, Male,50, <=50K
25, Private, Craft-repair, Male,40, <=50K
40, Private, Adm-clerical, Female,50, <=50K
49, Private, Handlers-cleaners, Male,80, <=50K
46, Private, Machine-op-inspct, Female,40, <=50K
32, Self-emp-not-inc, Sales, Male,50, <=50K
28, Private, Handlers-cleaners, Male,40, <=50K
19, Private, Adm-clerical, Female,25, <=50K
18, Private, Adm-clerical, Male,20, <=50K
39, Private, Sales, Male,55, <=50K
60, Self-emp-not-inc, Prof-specialty, Female,30, <=50K
46, Local-gov, Prof-specialty, Female,40, <=50K
38, Private, Machine-op-inspct, Female,50, >50K
36, Private, Machine-op-inspct, Male,44, >50K
45, Private, Sales, Male,40, <=50K
60, State-gov, Prof-specialty, Female,40, <=50K
30, Private, Craft-repair, Male,40, <=50K
22, Private, Tech-support, Female,43, <=50K
23, Private, Exec-managerial, Male,45, <=50K
48, State-gov, Prof-specialty, Female,24, <=50K
46, Private, Other-service, Female,15, <=50K
43, Private, Exec-managerial, Male,45, >50K
25, Private, Transport-moving, Male,40, <=50K
50, Private, Prof-specialty, Male,40, <=50K
61, Self-emp-inc, Sales, Male,55, <=50K
35, Private, Sales, Male,50, <=50K
65, Local-gov, Exec-managerial, Female,40, <=50K
56, Private, Transport-moving, Male,45, <=50K
43, Self-emp-not-inc, Machine-op-inspct, Female,80, <=50K
55, Private, Transport-moving, Male,50, <=50K
22, Private, Adm-clerical, Female,40, <=50K
40, Private, Machine-op-inspct, Male,32, <=50K
35, Private, Farming-fishing, Male,50, <=50K
20, Private, Machine-op-inspct, Male,40, <=50K
46, Local-gov, Other-service, Male,35, >50K
43, Private, Transport-moving, Male,40, <=50K
46, Federal-gov, Adm-clerical, Female,40, <=50K
39, Private, Other-service, Male,37, <=50K
34, Private, Exec-managerial, Female,20, <=50K
35, Private, Other-service, Female,35, <=50K
30, Private, Adm-clerical, Male,41, <=50K
25, Private, Machine-op-inspct, Male,28, <=50K
44, Private, Exec-managerial, Male,35, >50K
35, Private, Adm-clerical, Female,40, <=50K
41, Private, Handlers-cleaners, Male,40, <=50K
43, Federal-gov, Adm-clerical, Male,40, >50K
32, Private, Adm-clerical, Female,40, <=50K
50, Private, Craft-repair, Male,40, <=50K
20, Private, Adm-clerical, Female,15, <=50K
29, Private, Adm-clerical, Female,20, <=50K
38, Private, Prof-specialty, Male,70, >50K
20, Private, Handlers-cleaners, Male,50, <=50K
41, Private, Sales, Female,40, <=50K
27, Private, Exec-managerial, Female,65, <=50K
37, Private, Craft-repair, Male,40, <=50K
62, State-gov, Prof-specialty, Female,24, <=50K
31, Private, Other-service, Male,40, <=50K
49, Private, Adm-clerical, Female,40, <=50K
33, Local-gov, Prof-specialty, Female,50, <=50K
31, Private, Craft-repair, Male,40, >50K
19, Private, Other-service, Female,35, <=50K
44, Private, Machine-op-inspct, Male,40, <=50K
31, Self-emp-inc, Exec-managerial, Male,65, >50K
62, Private, Farming-fishing, Female,40, <=50K
65, Self-emp-not-inc, Exec-managerial, Male,10, >50K
17, Private, Other-service, Male,40, <=50K
60, Private, Transport-moving, Male,44, >50K
31, Private, Craft-repair, Male,40, <=50K
29, Private, Other-service, Female,40, <=50K
53, Private, Machine-op-inspct, Male,40, >50K
44, Private, Sales, Male,40, >50K
43, Private, Sales, Male,60, <=50K
40, Federal-gov, Craft-repair, Male,40, <=50K
18, Private, Sales, Female,10, <=50K
47, Private, Craft-repair, Female,43, <=50K
38, Federal-gov, Prof-specialty, Male,40, <=50K
37, Private, Other-service, Female,25, <=50K
40, Private, Sales, Female,40, <=50K
57, Self-emp-inc, Prof-specialty, Male,60, >50K
43, Private, Other-service, Female,40, <=50K
32, Private, Prof-specialty, Male,40, <=50K
64, Private, Sales, Male,40, <=50K
18, Private, Sales, Female,20, <=50K
40, Self-emp-not-inc, Exec-managerial, Male,50, <=50K
23, Private, Machine-op-inspct, Male,40, <=50K
45, Private, Adm-clerical, Female,40, <=50K
45, Self-emp-not-inc, Prof-specialty, Female,15, <=50K
27, Private, Other-service, Male,60, <=50K
23, Private, Handlers-cleaners, Male,40, <=50K
58, Self-emp-not-inc, Farming-fishing, Male,30, <=50K
35, Private, Tech-support, Female,75, <=50K
47, Private, Prof-specialty, Male,40, >50K
33, Private, Exec-managerial, Male,50, <=50K
27, Private, Prof-specialty, Male,40, >50K
46, Private, Machine-op-inspct, Male,40, >50K
24, Private, Craft-repair, Male,56, <=50K
40, Private, Craft-repair, Male,44, >50K
44, Private, Other-service, Female,24, <=50K
31, Local-gov, Protective-serv, Male,97, >50K
37, Private, Adm-clerical, Male,40, >50K
23, Private, Exec-managerial, Female,40, <=50K
30, Self-emp-inc, Sales, Male,52, >50K
31, Private, Other-service, Male,35, <=50K
32, Private, Exec-managerial, Male,40, <=50K
27, Private, Transport-moving, Male,40, <=50K
35, Local-gov, Adm-clerical, Male,55, <=50K
27, Private, Exec-managerial, Male,40, <=50K
30, Self-emp-not-inc, Sales, Male,70, <=50K
33, Self-emp-not-inc, Farming-fishing, Male,70, <=50K
34, Private, Prof-specialty, Male,45, >50K
29, Private, Craft-repair, Male,50, <=50K
26, Local-gov, Prof-specialty, Female,40, <=50K
39, Self-emp-not-inc, Craft-repair, Male,40, <=50K
37, Self-emp-inc, Exec-managerial, Male,50, >50K
51, Private, Exec-managerial, Female,50, >50K
40, Private, Craft-repair, Male,47, >50K
53, Private, Craft-repair, Male,40, <=50K
58, Federal-gov, Tech-support, Male,40, >50K
29, Private, Tech-support, Male,40, >50K
33, Private, Machine-op-inspct, Male,40, <=50K
57, Private, Exec-managerial, Male,60, >50K
69, State-gov, Protective-serv, Male,40, <=50K
20, Private, Adm-clerical, Female,12, <=50K
56, Private, Sales, Female,25, <=50K
49, Private, Craft-repair, Male,40, <=50K
34, Private, Machine-op-inspct, Male,40, <=50K
70, Private, Craft-repair, Male,37, <=50K
44, Private, Exec-managerial, Female,45, <=50K
37, Private, Prof-specialty, Male,40, >50K
58, Local-gov, Prof-specialty, Male,58, <=50K
42, Self-emp-not-inc, Prof-specialty, Female,25, <=50K
41, Private, Sales, Male,40, <=50K
28, Private, Adm-clerical, Female,40, <=50K
47, Local-gov, Prof-specialty, Male,60, >50K
24, Private, Machine-op-inspct, Female,40, <=50K
58, Self-emp-not-inc, Other-service, Male,55, >50K
18, Private, Adm-clerical, Female,25, <=50K
50, Private, Exec-managerial, Male,50, >50K
69, Private, Adm-clerical, Female,24, <=50K
84, Private, Prof-specialty, Male,66, <=50K
47, Private, Exec-managerial, Male,60, >50K
19, Private, Handlers-cleaners, Male,20, <=50K
24, Private, Prof-specialty, Male,40, <=50K
53, Private, Machine-op-inspct, Male,50, <=50K
58, Private, Sales, Male,45, <=50K
22, Private, Handlers-cleaners, Male,24, <=50K
36, Self-emp-not-inc, Exec-managerial, Male,52, <=50K
34, Private, Adm-clerical, Female,40, <=50K
43, Private, Prof-specialty, Female,21, <=50K
37, Private, Handlers-cleaners, Male,24, <=50K
43, Private, Tech-support, Male,50, >50K
42, Private, Tech-support, Female,40, >50K
21, Private, Other-service, Male,30, <=50K
49, Self-emp-not-inc, Sales, Male,60, <=50K
35, Private, Other-service, Male,40, <=50K
49, Self-emp-not-inc, Craft-repair, Female,30, <=50K
28, Private, Other-service, Male,40, <=50K
51, Private, Craft-repair, Male,40, <=50K
19, Private, Other-service, Male,60, >50K
56, Private, Other-service, Male,40, <=50K
20, Private, Other-service, Male,8, <=50K
22, Private, Adm-clerical, Female,37, <=50K
33, Private, Machine-op-inspct, Male,56, >50K
22, Private, Craft-repair, Male,50, <=50K
68, Private, Priv-house-serv, Female,30, <=50K
56, Local-gov, Exec-managerial, Female,40, <=50K
69, Self-emp-not-inc, Adm-clerical, Male,40, <=50K
41, Private, Tech-support, Male,40, <=50K
33, Private, Machine-op-inspct, Female,40, <=50K
18, Private, Sales, Female,8, <=50K
17, Private, Other-service, Male,16, <=50K
31, Private, Handlers-cleaners, Male,40, <=50K
50, Private, Tech-support, Male,60, >50K
62, Private, Handlers-cleaners, Female,40, <=50K
41, Private, Adm-clerical, Female,52, <=50K
20, Federal-gov, Other-service, Female,40, <=50K
23, Private, Sales, Male,30, <=50K
18, Private, Other-service, Male,20, <=50K
42, Private, Craft-repair, Male,40, <=50K
23, Private, Prof-specialty, Male,40, <=50K
43, Private, Adm-clerical, Female,40, <=50K
47, Private, Sales, Male,55, <=50K
53, Local-gov, Other-service, Male,40, <=50K
28, Private, Handlers-cleaners, Male,40, <=50K
28, State-gov, Protective-serv, Male,40, <=50K
44, Private, Prof-specialty, Male,45, <=50K
58, Private, Machine-op-inspct, Male,40, <=50K
26, Private, Machine-op-inspct, Female,40, <=50K
36, Self-emp-not-inc, Farming-fishing, Male,8, <=50K
27, Private, Other-service, Female,40, <=50K
39, Private, Exec-managerial, Male,45, >50K
25, Private, Exec-managerial, Male,40, <=50K
17, Private, Other-service, Female,15, <=50K
39, Private, Exec-managerial, Male,50, <=50K
52, Private, Machine-op-inspct, Male,40, <=50K
24, Private, Sales, Female,50, <=50K
26, Self-emp-not-inc, Farming-fishing, Male,55, <=50K
32, Private, Handlers-cleaners, Male,40, >50K
49, Local-gov, Protective-serv, Male,40, >50K
40, Private, Farming-fishing, Male,40, <=50K
52, Private, Exec-managerial, Male,60, >50K
33, Private, Adm-clerical, Male,40, <=50K
19, Private, Machine-op-inspct, Male,20, <=50K
37, Private, Prof-specialty, Male,40, <=50K
21, State-gov, Tech-support, Female,20, <=50K
33, Private, Adm-clerical, Male,36, <=50K
28, Private, Prof-specialty, Female,40, <=50K
48, Private, Craft-repair, Male,40, <=50K
43, Private, Tech-support, Male,40, <=50K
32, Private, Machine-op-inspct, Male,40, <=50K
28, Private, Other-service, Male,30, <=50K
47, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
37, Private, Adm-clerical, Male,50, >50K
26, Private, Sales, Male,30, <=50K
55, Private, Other-service, Male,60, <=50K
40, Private, Sales, Female,40, <=50K
31, Private, Exec-managerial, Male,40, >50K
39, Private, Other-service, Male,40, >50K
54, Self-emp-inc, Sales, Male,54, >50K
38, Private, Sales, Male,40, <=50K
53, Self-emp-not-inc, Farming-fishing, Male,85, <=50K
27, Self-emp-not-inc, Prof-specialty, Female,78, <=50K
42, Private, Exec-managerial, Male,40, >50K
62, Private, Adm-clerical, Female,40, <=50K
47, Private, Adm-clerical, Male,58, <=50K
26, Private, Exec-managerial, Female,50, <=50K
59, Private, Other-service, Male,40, <=50K
42, Private, Prof-specialty, Female,45, <=50K
25, Private, Prof-specialty, Male,45, >50K
58, Private, Sales, Male,36, <=50K
30, Private, Sales, Female,60, <=50K
21, Private, Craft-repair, Female,40, <=50K
61, Private, Protective-serv, Male,40, <=50K
33, Private, Handlers-cleaners, Male,40, <=50K
51, Private, Tech-support, Male,40, >50K
70, Private, Exec-managerial, Female,12, <=50K
29, Self-emp-not-inc, Craft-repair, Male,50, <=50K
46, Private, Prof-specialty, Female,44, <=50K
35, Federal-gov, Exec-managerial, Female,40, <=50K
31, Private, Craft-repair, Male,43, >50K
37, Private, Exec-managerial, Male,42, >50K
43, Private, Sales, Male,43, >50K
23, Private, Sales, Male,40, <=50K
41, Private, Craft-repair, Male,44, >50K
42, Local-gov, Prof-specialty, Female,50, >50K
26, Private, Adm-clerical, Female,40, <=50K
45, Private, Exec-managerial, Male,40, >50K
25, Private, Sales, Male,40, <=50K
38, Private, Machine-op-inspct, Male,50, >50K
28, Private, Exec-managerial, Female,50, <=50K
68, Self-emp-not-inc, Prof-specialty, Male,40, <=50K
42, Local-gov, Craft-repair, Male,40, >50K
35, Private, Sales, Male,40, <=50K
36, Private, Adm-clerical, Female,40, <=50K
33, Private, Craft-repair, Male,35, <=50K
22, Private, Adm-clerical, Female,30, <=50K
45, Local-gov, Protective-serv, Male,50, >50K
24, Private, Other-service, Female,40, <=50K
57, Private, Other-service, Male,35, <=50K
36, Local-gov, Prof-specialty, Male,40, >50K
41, Private, Adm-clerical, Female,40, <=50K
26, Self-emp-not-inc, Prof-specialty, Female,35, <=50K
25, Self-emp-not-inc, Farming-fishing, Female,50, <=50K
53, State-gov, Farming-fishing, Male,50, <=50K
28, Local-gov, Prof-specialty, Male,40, <=50K
30, Local-gov, Prof-specialty, Female,40, <=50K
38, Self-emp-not-inc, Craft-repair, Male,40, <=50K
37, Local-gov, Protective-serv, Male,48, <=50K
30, Private, Prof-specialty, Male,38, <=50K
41, Private, Machine-op-inspct, Female,40, <=50K
31, Private, Craft-repair, Male,80, <=50K
36, Private, Craft-repair, Male,55, <=50K
59, Self-emp-not-inc, Exec-managerial, Male,60, <=50K
33, Self-emp-not-inc, Craft-repair, Male,35, <=50K
29, Private, Sales, Male,55, >50K
49, State-gov, Machine-op-inspct, Male,40, >50K
50, Federal-gov, Craft-repair, Male,56, <=50K
33, Private, Exec-managerial, Male,45, >50K
28, Private, Handlers-cleaners, Male,40, <=50K
24, Private, Tech-support, Female,16, <=50K
32, Self-emp-not-inc, Craft-repair, Male,50, <=50K
47, Federal-gov, Transport-moving, Male,40, >50K
24, Private, Exec-managerial, Male,40, <=50K
37, Local-gov, Tech-support, Female,36, >50K
51, Private, Sales, Male,40, >50K
52, Private, Transport-moving, Male,50, <=50K
22, Private, Adm-clerical, Female,40, <=50K
28, Private, Other-service, Male,40, <=50K
47, Self-emp-not-inc, Craft-repair, Male,40, <=50K
